2026-03-13 20:55:04,659 | INFO | trading_bot | Connected to Binance Futures Testnet
2026-03-13 20:55:04,659 | INFO | trading_bot | Placing MARKET order BTCUSDT BUY qty=0.01
2026-03-13 20:55:04,852 | INFO | trading_bot | Binance response {'orderId': 12790324213, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJa8b28192fd08b934d872e2', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.010', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1773415504751}
2026-03-13 20:55:11,502 | INFO | trading_bot | Connected to Binance Futures Testnet
2026-03-13 20:55:11,502 | INFO | trading_bot | Placing MARKET order BTCUSDT SELL qty=0.01
2026-03-13 20:55:11,696 | INFO | trading_bot | Binance response {'orderId': 12790325754, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ9017855ddf4023e7306e51', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.010', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1773415511599}
2026-03-13 20:55:18,523 | INFO | trading_bot | Connected to Binance Futures Testnet
2026-03-13 20:55:18,523 | INFO | trading_bot | Placing LIMIT order BTCUSDT BUY qty=0.01 price=50000.0
2026-03-13 20:55:18,721 | INFO | trading_bot | Binance response {'orderId': 12790328092, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ8f87b97da8e9abfa819d4c', 'price': '50000.00', 'avgPrice': '0.00', 'origQty': '0.010', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1773415518623}
2026-03-13 20:55:25,713 | INFO | trading_bot | Connected to Binance Futures Testnet
2026-03-13 20:55:25,714 | INFO | trading_bot | Placing LIMIT order BTCUSDT SELL qty=0.01 price=70000.0
2026-03-13 20:55:25,901 | INFO | trading_bot | Binance response {'orderId': 12790329757, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ4c42aabf7773ebae99a4c3', 'price': '70000.00', 'avgPrice': '0.00', 'origQty': '0.010', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1773415525789}
